title,journal,authors,year
Does Dropping Out of School Enhance Delinquent Involvement? Results from a Large-Scale National Probability Sample.," Criminology 31,2 ","Jarjoura, G. Roger. ",1993
The Conditional Effect of Social Class on the Dropout- Delinquency Relationship.," Journal of Research in Crime and Delinquency 33,2 ","Jarjoura, G. Roger. ",1996
Growing Up Poor: Examining the Link between Persistent Childhood Poverty and Delinquency.," Journal of Quantitative Criminology, 18, 2, ","Jarjoura, G. Roger, Ruth Triplett and Gregory P. Brinker. ",2002
Exercise in Young Adulthood with Simultaneous and Future Changes in Fruit and Vegetable Intake.," Journal of the American College of Nutrition 35,1 ","Jayawardene, Wasantha P., Mohammad R. Torabi and David K. Lohrmann. ",2016
"Parental Conflict, Marital Disruption and Children's Emotional Well-Being."," Social Forces 76,3 ","Jekielek, Susan Marie. ",1998
America's Next Achievement Test: Closing the Black-White Test Score Gap.," The American Prospect 9,40 ","Jencks, Christopher and Meredith Phillips. ",1998
Examining the Influence of Delinquent Peer Association on the Stability of Self-Control in Late Childhood and Early Adolescence: Toward an Integrated Theoretical Model.," Deviant Behavior 34,5 ","Jennings, Wesley G., George E. Higgins, Ronald L. Akers, David N. Khey and Jason Dobrow. ",2013
The Short-Term Effects and Unintended Long-Term Consequences of Binge Drinking in College: A 10-Year Follow-Up Study.," American Journal of Drug and Alcohol Abuse 30,3 ","Jennison, Karen M. ",2004
Alcohol Dependence in Adult Children of Alcoholics: Longitudinal Evidence of Early Risk.," Journal of Drug Education 28,1 ","Jennison, Karen M. and Kenneth A. Johnson. ",1998
Drinking-Induced Blackouts Among Young Adults: Results from a National Longitudinal Survey.," International Journal of the Addictions 29,1 ","Jennison, Karen M. and Kenneth A. Johnson. ",1994
Parental Alcoholism as a Risk Factor for DSM-IV-Defined Alcohol Abuse and Dependence in American Women: The Protective Benefits of Dyadic Cohesion in Marital Communication.," American Journal of Drug and Alcohol Abuse 27,2 ","Jennison, Karen M. and Kenneth A. Johnson. ",2001
Resilience to Drinking Vulnerability in Women with Alcoholic Parents: The Moderating Effects of Dyadic Cohesion in Marital Communication.," Substance Use and Misuse 32,11 ","Jennison, Karen M. and Kenneth A. Johnson. ",1997
Stepfamily Functioning and Closeness: Children's Views on Second Marriages and Stepfather Relationships.," Social Work 58,2 ","Jensen, Todd M. and Kevin M. Shafer. ",2013
Latent Class Analysis for Repeatedly Measured Multiple Latent Class Variables., Multivariate Behavioral Research published online ,"Jeon, Saebom, Tae Seok Seo, James C. Anthony and Hwan Chung. ",2020
The Differential Impact of Wealth Versus Income in the College-Going Process.," Research in Higher Education 55,7 ","Jez, Su Jin. ",2014
Job Search under Debt: Aggregate Implications of Student Loans., Journal of Monetary Economics published online ,"Ji, Yan. ",2020
A Comparison of Income and Wealth Mobility in the United States.," Journal of Income Distribution, 5,2 ","Jianakoplos, Nancy Ammon. ",1995
Wealth Mobility.," The Review of Economics and Statistics 79,1 ","Jianakoplos, Nancy Ammon and Paul L. Menchik. ",1997
"Saving Behavior of Older Households: Rate-of-Return, Precautionary and Inheritance Effects.", Economics Letters 50 ,"Jianakoplos, Nancy Ammon, Paul L. Menchik and F. Owen Irvine. ",1996
Trust and Household Debt.," Review of Finance 22,2 ","Jiang, Danling and Sonya S. Lim. ",2018
Does the Earned Income Tax Credit Increase Children's Weight? The Impact of Policy‐driven Income on Childhood Obesity.," Health Economics 27,7 ","Jo, Young. ",2018
Quantile Regression Analysis of Body Mass and Wages.," Health Economics 21,5 ","Johar, Meliyanni and Hajime Katayama. ",2012
Direct and Indirect Effect of Depression in Adolescence on Adult Wages.," Applied Economics 46,36 ","Johar, Meliyanni and Jeffrey Truong. ",2014
The Effect of Household Hospitalizations on the Educational Attainment of Youth., Economics of Education Review 37 ,"Johnson, Eric and C. Lockwood Reynolds. ",2013
Changing Patterns of Geographic Mobility and the Labor Market for Young Adults.," Journal of Labor Economics 37,S1 ","Johnson, Janna and Sam Schulhofer-Wohl. ",2019
Adolescent Sexual Onset: An Intergenerational Analysis .," Journal of Youth and Adolescence 36,7 ","Johnson, Katherine A. and Kimberly A. Tyler. ",2007
Minority Population Concentration and Earnings: Evidence From Fixed-Effects Models.," Social Forces, 91,1 ","Johnson, Kecia, Jeremy Pais and Scott J. South. ",2012
"Borrowing Constraints, College Enrollment, and Delayed Entry."," Journal of Labor Economics 31,4 ","Johnson, Matthew T. ",2013
The Impact of Human Capital Investments on Pension Benefits.," Journal of Labor Economics 14,3 ","Johnson, Richard W. ",1996
"Age Discrimination, Job Separations, and Employment Status of Older Workers: Evidence from Self-Reports."," Journal of Human Resources 32,4 ","Johnson, Richard W. and David B. Neumark. ",1997
Wage Declines Among Older Men.," The Review of Economics and Statistics 78,4 ","Johnson, Richard W. and David B. Neumark. ",1996
Measuring the Influence of Juvenile Arrest on the Odds of Four-Year College Enrollment for Black Males: An NLSY Analysis.," Spectrum: A Journal on Black Men 4,1 ","Johnson, Royel Montel. ",2015
"The Reliability of Self-Reported Age of Onset of Tobacco, Alcohol and Illicit Drug Use."," Addiction 96,8 ","Johnson, Timothy P. and Joshua Adam Mott. ",2001
Income Security for the Disabled.," Industrial Relations: A Journal of Economy and Society 18,2 ","Johnson, William G., William P. Curington and Paul R. Cullinan. ",1979
Are Public Subsidies to Higher Education Regressive?," Education Finance and Policy 1,3 ","Johnson, William R. ",2006
Evaluating a Simple Method for Estimating Black-White Gaps in Median Wages.," The American Economic Review 90,2 ","Johnson, William R., Yuichi Kitamura and Derek A. Neal. ",2000
Family Structure Patterns from Childhood through Adolescence and the Timing of Cohabitation among Diverse Groups of Young Adult Women and Men.," Developmental Psychology 56,1 ","Johnston, Carol A., Shannon Cavanagh and Robert Crosnoe. ",2020
Two Methods for Studying the Developmental Significance of Family Structure Trajectories., Journal of Marriage and Family published online ,"Johnston, Carol A., Robert Crosnoe, Sara E. Mernitz and Amanda Pollitt. ",2019
Physical Appearance and Wages: Do Blondes Have More Fun?," Economics Letters 108,1 ","Johnston, David W. ",2010
"Handedness, Health and Cognitive Development: Evidence from Children in the National Longitudinal Survey of Youth.", Journal of the Royal Statistical Society: Series A ,"Johnston, David W., Michael Nicholls, Manisha Shah and Michael A. Shields. ",Society
Flow of Cognitive Capital across Rural and Urban United States., Intelligence 46 ,"Jokela, Markus. ",2014
"IQ, Socioeconomic Status, and Early Death: The US National Longitudinal Survey of Youth."," Psychosomatic Medicine 71,3 ","Jokela, Markus, Marko Elovainio, Archana Singh-Manoux and Mika Kivimäki. ",2009
Lower Fertility Associated with Obesity and Underweight: The US National Longitudinal Survey of Youth.," American Journal of Clinical Nutrition 88,4 ","Jokela, Markus, Mika Kivimäki and Marko Elovainio. ",2008
Serial Monogamy Increases Reproductive Success in Men but not in Women.," Behavioral Ecology 21,5 ","Jokela, Markus and Anna Rotkirch. ",2010
"Still Penalized? Parity, Age at First Birth and Women's Income in Later Life."," Journal of Women and Aging 24,3 ","Jokinen-Gordon, Hanna. ",2012
Job Displacement's Long-run Effect on Access to Employer-provided Health Insurance and other Fringe Benefits., Economics Letters 130 ,"Jolly, Nicholas A. and Brian J. Phelan. ",2015
The Long-Run Effects of Job Displacement on Sources of Health Insurance Coverage.," Journal of Labor Research 38,2 ","Jolly, Nicholas A. and Brian J. Phelan. ",2017
"Core Family Process Measures in the NLSY97: Variation by Gender, Race, Income, and Family Structure."," Marriage and Family Review 45,2-3 ","Jones-Sanpei, Hinckley A., Randal D. Day and Erin K. Holmes. ",2009
Family Process Variables in the NLSY97: A Primer.," Marriage and Family Review 45,2-3 ","Jones-Sanpei, Hinckley A., Randal D. Day, Erin K. Holmes and Alisa van Langeveld. ",2009
Family Process Environmental Measures in the NLSY97: Variation by Race and Socioeconomic Conditions.," Marriage and Family Review 45,2-3 ","Jones-Sanpei, Hinckley A., Erin K. Holmes and Randal D. Day. ",2009
"Maternal Alcohol Abuse/Dependence, Children's Behavior Problems, and Home Environment: Estimates from the National Longitudinal Survey of Youth Using Propensity Score Matching."," Journal of Studies on Alcohol and Drugs 68,2 ","Jones, Alison Snow. ",2007
Causal Effects of Alcoholism on Earnings: Estimates from the NLSY.," Health Economics 15,8 ","Jones, Alison Snow and David W. Richmond. ",2006
Parental Socioeconomic Instability and Child Obesity.," Biodemography and Social Biology 64,1 ","Jones, Antwan. ",2018
"Race, Socioeconomic Status, and Health during Childhood: A Longitudinal Examination of Racial/Ethnic Differences in Parental Socioeconomic Timing and Child Obesity Risk."," International Journal of Environmental Research and Public Health 15,4 ","Jones, Antwan. ",2018
Underreporting of Abortion in Surveys of U.S. Women: 1976 to 1988.," Demography 29,1 ","Jones, Elise F. and Jacqueline D. Forrest. ",1992
Union/Nonunion Differentials: Membership or Coverage?," Journal of Human Resources 17,2 ","Jones, Ethel B. ",1982
Human Capital and Labor Market Employment: Additional Evidence for Women.," Journal of Human Resources 14,2 ","Jones, Ethel B. and James E. Long. ",1979
Part-Week Work and Human Capital Investment by Married Women.," Journal of Human Resources 14,4 ","Jones, Ethel B. and James E. Long. ",1979
Part-Week Work and Women's Unemployment.," Review of Economics and Statistics 63,1 ","Jones, Ethel B. and James E. Long. ",1981
Predictors of the Trajectory of Hyperactivity in Middle and Late Childhood ., MBRS-RISE Journal of Undergraduate Research 5 ,"Jones, Maria S. ",2010
The Measurement of Labor Force Dynamics with Longitudinal Data: The Labour Market Activity Survey Filter.," Journal of Labor Economics 13,2 ","Jones, Stephen R. G. and W. Craig Riddell. ",1995
Rural and Urban High School Dropout Rates: Are They Different? .," Journal of Research in Rural Education 27,12 ","Jordan, Jeffrey L., Genti Kostandini and Elton Mykerezi. ",2012
The Impact of Tracking: An Examination of Outcomes.," Journal of Poverty 2,1 ","Joseph, Alfred Louis. ",1997
Diverse Family Living Situations and Child Development: A Multi-Level Analysis Comparing Longitudinal Evidence from Britain and the United States.," International Journal of Law, Policy, and the Family 13 ","Joshi, Heather, Elizabeth C. Cooksey, Richard D. Wiggins, Andrew McCulloch, Georgia Verropoulou and Lynda Clarke. ",1999
Student Characteristics Affecting the Decision to Enroll in a Community College: Economic Rationale .," Community College Journal of Research and Practice 33,10 ","Joshi, Prathibha V., Kris A. Beck and Christian Nsiah. ",2009
School-To-Work Programs: Information from Two Surveys.," Monthly Labor Review 124,8 ","Joyce, Mary and David B. Neumark. ",2001
On the Validity of Retrospective Assessments of Pregnancy Intention.," Demography 39,1 ","Joyce, Theodore J., Robert Kaestner and Sanders D. Korenman. ",2002
Stability of Pregnancy Intentions and Pregnancy-Related Maternal Behaviors.," Maternal and Child Health Journal 4,3 ","Joyce, Theodore J., Robert Kaestner and Sanders D. Korenman. ",2000
The Effect of Pregnancy Intention on Child Development.," Demography 37,1 ","Joyce, Theodore J., Robert Kaestner and Sanders D. Korenman. ",2000
The Quality of Male Fertility Data in Major U.S. Surveys .," Demography 49,1 ","Joyner, Kara, H. Elizabeth Peters, Kathryn Hynes, Asia Sikora, Jamie Rubenstein Taber and Michael S. Rendall. ",2012
Class and Race Discrimination: Estimates Based upon a Sample of Young Men.," Social Science Quarterly 57,4 ","Jud, G. Donald and James L. Walker. ",1977
The Effect of Physical Height on Workplace Success and Income: Preliminary Test of a Theoretical Model.," Journal of Applied Psychology 89,3 ","Judge, Timothy A. and Daniel M. Cable. ",2004
"When It Comes to Pay, Do the Thin Win? The Effect of Weight on Pay for Men and Women."," Journal of Applied Psychology 96,1 ","Judge, Timothy A. and Daniel M. Cable. ",2011
Capitalizing on One's Advantages: Role of Core Self-Evaluations.," Journal of Applied Psychology 92,5 ","Judge, Timothy A. and Charlice Hurst. ",2007
How the Rich (and Happy) Get Richer (and Happier): Relationship of Core Self-Evaluations to Trajectories in Attaining Work Success.," Journal of Applied Psychology 93,4 ","Judge, Timothy A. and Charlice Hurst. ",2008
"Time is on My Side: Time, General Mental Ability, Human Capital, and Extrinsic Career Success."," Journal of Applied Psychology 95,1 ","Judge, Timothy A., Ryan L. Klinger and Lauren S. Simon. ",2010
"Is the Gap More Than Gender? A Longitudinal Analysis of Gender, Gender Role Orientation, and Earnings."," Journal of Applied Psychology 93,5 ","Judge, Timothy A. and Beth A. Livingston. ",2008
Is the Past Prologue?: A Test of Ghiselli's Hobo Syndrome.," Journal of Management 21,2 ","Judge, Timothy A. and Shinichiro Watanabe. ",April1995
The Long-Term Impact of Incarceration During the Teens and 20s on the Wages and Employment of Men.," Journal of Offender Rehabilitation 54,5 ","Jung, Haeil. ",2015
The Use of Cognitive Ability Measures as Explanatory Variables in Regression Analysis.," IZA Journal of Labor Economics 1,4 ","Junker, Brian, Lynne Steuerle Schofield and Lowell J. Taylor. ",2012
"Influence of Work Experience, Skill Requirement, and Occupational Segregation on Women's Earnings."," Journal of Economics and Business 29,2 ","Jusenius, Carol L. ",1976-77
Delinquent Youth and Employment: The Mandate for Specialized Academic and Vocational Training.," Journal for Vocational Special Needs Education 7,3 ","Just, David Allen. ",1985
The Relationship Between Delinquent Behavior and Work Values of Noninstitutionalized Youth.," Journal of Correctional Education 36,4 ","Just, David Allen. ",1985
"Differences in the Measurement of Wealth, Wealth Inequality and Wealth Composition Obtained from Alternative U.S. Wealth Surveys."," Review of Income and Wealth 37,1 ","Juster, F. Thomas and Kathleen Kuester. ",1991
