title,keywords,authors,journal,year
"Entrepreneurship, Frictions, and Wealth",Keywords: . ,"Cagetti, Marco and De Nardi, Mariacristina.", Journal of Political Economy, 2006
Are Social Networks the Ties that Bind Families to Neighborhoods?,"Keywords: Child Development Supplement, Children, Housing, Neighborhoods & Geographic Mobility, Poverty","Dawkins, Casey J.", Housing Studies, 2006
"Birth Order, Educational Attainment, and Earnings: An Investigation Using the PSID","Keywords: Education Attainment & Achievement, Family Formation & Composition, Income, Labor Market & Outcomes, Racial-Ethnic Differences","Kantarevic, Jasmin and Mechoulan, Stephane.", The Journal of Human Resources, 2006
Comparing Fixed Effects and Covariance Structure Estimators for Panel Data,"Keywords: Education Attainment & Achievement, Income, Intergenerational Influences & Transfers, Labor Market & Outcomes","Ejrnaes, Mette and Holm, Anders.", Sociological Methods & Research, 2006
"Trends in Income Inequality, Pro-Poor Income Growth, and Income Mobility","Keywords: Government Transfers, Income, International Studies, Labor Market & Outcomes, Poverty","Jenkins, Stephen P. and Van Kerm, Philippe.", Oxford Economic Letters, 2006
The Ability of Women to Repay Debt After Divorce,"Keywords: Aging, Expenditures, Savings & Consumption, Family Formation & Composition, Gender Differences, Government Transfers, Poverty, Wealth, Assets & Pensions","Fisher, Jonathan D."," Journal of Women, Politics & Policy", 2006
The Luxembourg Wealth Study – a Cross-Country Comparable Database for Household Wealth Research,"Keywords: International Studies, Wealth, Assets & Pensions","Sierminska, Eva, Brandolini, Andrea, and Smeeding, Timothy M.", The Journal of Economic Inequality, 2006
Entrepreneurship and Risk Aversion,"Keywords: Labor Market & Outcomes, Wealth, Assets & Pensions","Kan, Kamhon and Tsai, Wei-Der.", Small Business Economics, 2006
Risk-Based Pricing of Interest Rates for Consumer Loans,"Keywords: Expenditures, Savings & Consumption, Wealth, Assets & Pensions","Edelberg, Wendy.", Journal of Monetary Economics, 2006
Pseudo-R2 in Logistic Regression Model,Keywords: Statistical & Econometric Methods,"Hu, Bo, Shao, Jun, and Palta, Mari.", Statistica Sinica, 2006
Efficiency and Tax Incentives: The Case for Refundable Tax Credits,"Keywords: Income, Taxes","Batchelder, Lily L., Goldberg Jr., Fred T., and Orzag, Peter R.", Stanford Law Review, 2006
Why Are Fertility Rates and Female Employment Ratios Positively Correlated across OECD Countries?,"Keywords: Family Formation & Composition, Gender Differences, International Studies, Labor Market & Outcomes, Statistical & Econometric Methods","Da Rocha, José María and Fuster, Luisa.", International Economic Review, 2006
Learning-By-Doing or Habit Formation?,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Bouakez, Hafedh and Kano, Takashi.",Learning-By-Doing or Habit Formation? Review of Economic Dynamics, 2006
The Economics of Nonprofit Organizations,Keywords: Philanthropy,"Hughes, Patricia.", Nonprofit Management and Leadership, 2006
Nonparametric Conditional Density Estimation of Labour Force Participation,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Kumar, Anil.", Applied Economics Letters, 2006
Housing Costs and the Geography of Family Migration Outcomes,"Keywords: Family Formation & Composition, Gender Differences, Housing, Neighborhoods & Geographic Mobility","Withers, Suzanne Davies and Clark, William A. V."," Population, Space and Place", 2006
Intergenerational Mobility for Women and Minorities in the United States,"Keywords: Gender Differences, Intergenerational Influences & Transfers, Racial-Ethnic Differences","Kearney, Melissa S.", The Future of Children, 2006
Lemons in the Used Car Market: An Empirical Investigation,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Sultan, Arif.", Southwest Business & Economics Journal, 2006
The Role of Family Socioeconomic Resources in the Black–White Test Score Gap among Young Children,"Keywords: Child Development Supplement, Education Attainment & Achievement, Intergenerational Influences & Transfers, Racial-Ethnic Differences","Magnuson, Katherine and Duncan, Greg.", Developmental Review, 2006
Trends in Marital Dissolution by Women's Education in the United States,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Gender Differences","Martin, Steven.", Demographic Research, 2006
""" Culture"" and the Intergenerational Transmission of Poverty: The Prevention Paradox","Keywords: Intergenerational Influences & Transfers, Poverty","Ludwig, Jens and Mayer, Susan.", The Future of Children, 2006
Switching Costs and Adverse Selection in the Market for Credit Cards: New Evidence,"Keywords: Statistical & Econometric Methods, Wealth, Assets & Pensions","Calem, Paul, Gordy, Michael, and Mester, Loretta.", Journal of Banking & Finance, 2006
How the United States Measures Well-Being in Household Surveys,"Keywords: Statistical & Econometric Methods, Survey Methodology, Wellbeing","Weinberg, Daniel H.", Journal of Official Statistics, 2006
"Savings, Intergenerational Transfers, and the Distribution of Wealth","Keywords: Aging, Expenditures, Savings & Consumption, Intergenerational Influences & Transfers, Statistical & Econometric Methods, Wealth, Assets & Pensions","Ocampo, Ignacio and Yuki, Kazuhiro.", Macroeconomic Dynamics, 2006
Precautionary Savings or Working Longer Hours?,"Keywords: Expenditures, Savings & Consumption, Labor Market & Outcomes, Statistical & Econometric Methods","Pijoan-Mas, Josep.", Review of Economic Dynamics, 2006
Training and Lifetime Income,Keywords: Income,"Kuruscu, Burhanettin.", American Economic Review, 2006
Unsecured Debt with Public Insurance: From Bad to Worse,"Keywords: Government Transfers, Income, Labor Market & Outcomes, Statistical & Econometric Methods","Athreya, Kartik B. and Simpson, Nicole B.", Journal of Monetary economics, 2006
Financial Constraints and Entrepreneurial Investment,"Keywords: Expenditures, Savings & Consumption, Wealth, Assets & Pensions","Boháek, Radim.", Journal of Monetary Economics, 2006
Life-Cycle Consumption and the Age-Adjusted Value of Life. The B.E,"Keywords: Aging, Expenditures, Savings & Consumption","Kniesner, Thomas J., Viscusi, W. Kip, and Ziliak, James P.", Journal of Economic Analysis & Policy, 2006
Do Labor Issues Matter in the Determination of U.S. Trade Policy? An Empirical Reevaluation,"Keywords: Government Transfers, Labor Market & Outcomes","Matschke, Xenia and Sherlund, Shane M.", American Economic Review, 2006
Homogamy among the Divorced and the Never Married on Marital History in Recent Decades: Evidence from Vital Statistics Data,"Keywords: Family Formation & Composition, Statistical & Econometric Methods","Ono, Hiromi.", Social Science Research, 2006
Buffer Stock Saving in Retirement Accounts,"Keywords: Expenditures, Savings & Consumption, Retirement","Love, David.", Journal of Monetary Economics, 2006
On the Optimal Progressivity of the Income Tax Code,"Keywords: Expenditures, Savings & Consumption, Income, Statistical & Econometric Methods, Taxes","Conesa, Juan Carlos and Krueger, Dirk.", Journal of Monetary Economics, 2006
Reconciling Conflicting Evidence on the Elasticity of Intertemporal Substitution: A Macroeconomic Perspective,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods, Wealth, Assets & Pensions","Guvenen, Fatih.", Journal of Monetary Economics, 2006
Human Capital and Earnings Distribution Dynamics,"Keywords: Expenditures, Savings & Consumption, Income, Labor Market & Outcomes, Statistical & Econometric Methods","Huggett, Mark, Ventura, Gustavo, and Yaron, Amir.", Journal of Monetary Economics, 2006
Borrowing Costs and the Demand for Equity over the Life Cycle,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Davis, Steven J., Kubler, Felix, and Willen, Paul.", The Review of Economics and Statistics, 2006
Costs of Business Cycles for Unskilled Workers,"Keywords: Income, Labor Market & Outcomes, Statistical & Econometric Methods","Mukoyama, Toshihiko and ahin, Ayegül.", Journal of Monetary Economics, 2006
The Modifying Effects of Food Stamp Program Participation on the Relation between Food Insecurity and Weight Change in Women,"Keywords: Aging, Education Attainment & Achievement, Family Formation & Composition, Food & Nutrition, Gender Differences, Government Transfers, Health, Disability & Mortality, Labor Market & Outcomes, Poverty, Racial-Ethnic Differences","Jones, Sonya J. and Frongillo, Edward A.", The Journal of Nutrition, 2006
"Is Television Viewing Associated With Social Isolation?: Roles of Exposure Time, Viewing Content, and Violent Content","Keywords: Child Development Supplement, Children, Time Use & Home Production, Wellbeing","Bickham, David S. and Rich, Michael.", Archives of Pediatrics & Adolescent Medicine, 2006
Is Workers' Mobility a Source of R&D Spillovers?: Evidence of Effects of Innovative Activities on Wages,"Keywords: Education Attainment & Achievement, Income, Labor Market & Outcomes","Magnani, Elisabetta.", International Journal of Manpower, 2006
The Labor-Supply Elasticity and Borrowing Constraints: Why Estimates are Biased,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Domeij, David and Floden, Martin.", Review of Economic Dynamics, 2006
"Long-Term Effects of Obesity on Employment and Work Limitations Among U.S. Adults, 1986 to 1999","Keywords: Aging, Food & Nutrition, Gender Differences, Health, Disability & Mortality, Labor Market & Outcomes, Life Course","Tunceli, K., Li, K. M., and Williams, L. K.", Obesity, 2006
Marginal Welfare Costs of Taxation With Human and Physical Capital,"Keywords: Education Attainment & Achievement, Government Transfers, Income, Labor Market & Outcomes, Taxes","Allgood, Sam and Snow, Arthur.", Economic Inquiry, 2006
Mental Health in Adolescence: Is America's Youth Flourishing?,"Keywords: Child Development Supplement, Children, Health, Disability & Mortality, Wellbeing","Keyes, Corey L. M.",Mental Health in Adolescence: Is America's Youth Flourishing? American Journal of Orthopsychiatry, 2006
The Mismeasure of Poverty,"Keywords: Poverty,"Eberstadt, Nicholas.", Policy Review, 2006
Remote Possibilities: Rural Children's Educational Aspirations,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement","Howley, Caitlin W.", Peabody Journal of Education, 2006
Residential Father Family Type and Child Well-Being: Investment Versus Selection,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Family Formation & Composition, Health, Disability & Mortality, Intergenerational Influences & Transfers, Neighborhoods & Geographic Mobility","Hofferth, Sandra L.", Demography, 2006
The Role of Earnings and Financial Risk in Distributional Analyses of Social Security Reform Measures,"Keywords: Aging, Expenditures, Savings & Consumption, Government Transfers, Income, Labor Market & Outcomes, Retirement, Wealth, Assets & Pensions","Hungerford, Thomas L.", Journal of Policy Analysis and Management, 2006
Les Modeles Non Cooperatifs d'Offre De Travail: Theorie Et Evidence,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods, Survey Methodology","Donni, Olivier."," L'Actualite Economique, Revue d'Analyse Economique", 2006
Till Debt Do Us Part: A Model of Divorce and Personal Bankruptcy,"Keywords: Aging, Expenditures, Savings & Consumption, Family Formation & Composition, Wealth, Assets & Pensions","Fisher, Jonathan D.", Review of Economics of the Household, 2006
Time Well Spent? Relating Television Use to Children's Free-Time Activities,"Keywords: Child Development Supplement, Children, Intergenerational Influences & Transfers, Time Use & Home Production","Vandewater, Elizabeth A., Bickham, David S., and Lee, June H.", Pediatrics, 2006
Household Life Cycles and Lifestyles in the United States,"Keywords: Aging, Expenditures, Savings & Consumption, Family Formation & Composition, Food & Nutrition, Life Course","Du, Rex Yuxing and Kamakura, Wagner A.", Journal of Marketing Research, 2006
How Customer Self-Determination Influences Relational Marketing Outcomes: Evidence from Longitudinal Field Studies,"Keywords: Aging, Expenditures, Savings & Consumption, Intergenerational Influences & Transfers, Life Course","Dholakia, Utpal M.", Journal of Marketing Research, 2006
The Incidence of Medicare,"Keywords: Aging, Expenditures, Savings & Consumption, Health, Disability & Mortality, Income, Intergenerational Influences & Transfers, Retirement, Taxes","McClellan, Mark and Skinner, Jonathan.", Journal of Public Economics, 2006
